,SMILES,class_0,class_1,permeability issues,Label
0,Brc1ccc2cc(ccc2c1)C(=O)Nc1ccc(cc1)C1=NCCN1,1,0,No,0
1,CC(C)(C)c1ccc(\C=C\C(=O)Nc2ccc(cc2)C2=NCCN2)cc1,1,0,No,0
2,CC(C)c1ccc(\C=C\C(=O)Nc2ccc(cc2)C2=NCCN2)cc1,1,0,No,0
3,Clc1ccc(\C=C\C(=O)Nc2ccc(cc2)C2=NCCN2)cc1,1,0,No,0
4,Brc1ccccc1\C=C\C(=O)Nc1ccc(cc1)C1=NCCN1,1,0,No,0
5,O=C(Nc1ccc(NC(=O)c2ccc(cc2)C2=NCCN2)cc1)c1ccc(cc1)C1=NCCN1,1,0,No,0
6,O=C(Nc1ccc(cc1)C1=NCCN1)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccc(cc1)C1=NCCN1,1,0,No,0
7,O=C(Nc1cccc(c1)C1=NCCN1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1,1,0,No,0
8,COc1cnc2ccc(=O)n(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,1,0,No,0
9,COc1ccc2ncc(=O)n(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,1,0,No,0
10,COc1cnc2ccc(=O)n(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2c1,1,0,No,0
11,COc1ccc2ccc(=O)n(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,1,0,No,0
12,COc1ccc2ccc(=O)n(C[C@H](O)[C@@H]3CC[C@H](CO3)NCc3cc4SCCOc4nn3)c2n1,0,1,Yes,1
13,COc1ccc2ccc(=O)n(C[C@H](O)[C@@H]3CC[C@H](CO3)NCc3cc4OCCOc4nn3)c2n1,1,0,No,0
14,COc1ccc2ccc(=O)n(C[C@H](O)[C@@H]3CC[C@H](CO3)NCc3cc4SCCOc4cn3)c2n1,0,1,Yes,1
15,COc1ccc2ccc(=O)n(C[C@H](O)[C@@H]3CC[C@H](CO3)NCc3cc4OCCOc4cn3)c2n1,0,1,Yes,1
16,COc1ccc2ccc(=O)n(C[C@H](O)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,0,1,Yes,1
17,COc1ccc2ncc(F)c(C[C@@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,1,0,No,0
18,COc1ccc2ncc(F)c(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,0,1,Yes,1
19,COc1ccc2nccc(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,1,0,No,0
20,COc1ccc2ncc(F)c(C[C@H](O)[C@@H]3CC[C@H](CO3)NCc3ccc4OCC(=O)Nc4n3)c2n1,0,1,Yes,1
21,COC(=O)N1CCC(CC1)Oc1cccc(c1)[C@@H](CC#N)Nc1nc2nc(C)cc(N3CCN(C)CC3)c2[nH]1,1,0,No,0
22,CN1CCN(CC1)c1cc(C)nc2nc(N[C@H](CC#N)c3cccc(Cl)c3)[nH]c12,0,1,Yes,1
23,COc1ccccc1[C@H](N)CNc1cc(C)nc2nc(N[C@H](CC#N)c3cccc(Cl)c3)nn12,0,1,Yes,1
24,COC(=O)N1CCC(Cc2cccc(c2)[C@@H](CC#N)Nc2nc3nc(C)ccc3[nH]2)CC1,0,1,Yes,1
25,CC(C)(C)CC(=O)N1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,1,0,No,0
26,CC1=CC(=O)C(=C(C)C1=O)C(C)(C)CC(O)=O,1,0,No,0
27,CC1=CC(=O)C(=C(C)C1=O)C(C)(C)CC(=O)N1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,1,0,No,0
28,CC1=C(N)C(=O)C(=C(C)C1=O)C(C)(C)CC(=O)N1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,1,0,No,0
30,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1Cl,0,1,Yes,1
31,Cn1c2cc(c(O)cc2c2c3C(=O)NC(=O)c3c(cc12)-c1ccccc1Cl)S(=O)(=O)CCCN1CCCC1,1,0,No,0
32,OCCn1c2cc(OCCCN3CCCC3)c(O)cc2c2c3C(=O)NC(=O)c3c(cc12)-c1ccccc1Cl,1,0,No,0
33,Cn1c2cc(OCCCN3CCCC3)c(O)cc2c2c3C(=O)NC(=O)c3c(cc12)-c1ccccc1Cl,1,0,No,0
34,CN(C)CCCOc1cc2n(C)c3cc(c4C(=O)NC(=O)c4c3c2cc1O)-c1ccccc1Cl,0,1,Yes,1
35,CSc1ccccc1-c1cc2[nH]c3ccc(O)cc3c2c2C(=O)NC(=O)c12,0,1,Yes,1
36,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1Br,0,1,Yes,1
37,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1c(Cl)cccc1Cl,0,1,Yes,1
38,CC(C)[C@H]1OC(=O)C2=CCCN2C(=O)c2coc(CC(=O)C[C@H](O)\C=C(/C)\C=C\CNC(=O)\C=C\[C@H]1C)n2,1,0,No,0
39,COC(=O)N1CCC(CC1)OC1=CC=CC(=C1)[C@@H](CC#N)NC1=NC2=NC(C)=CC=C2N1,0,1,Yes,1
40,COc1cccc(F)c1C[C@H]1COCCN1C(=O)C1=CC(=NN1)c1cc(C)ccn1,0,1,Yes,1
41,Cc1ccnc(c1)C1=NNC(=C1)C(=O)N1CCOC[C@H]1Cc1ccccc1Cl,0,1,Yes,1
42,Cc1ccnc(c1)C1=NNC(=C1)C(=O)N1CCOC[C@H]1Cc1ccccn1,1,0,No,0
43,Cc1ccnc(c1)C1=CC(=NN1)C(=O)N1CCOCC1,1,0,No,0
44,CC(O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)C1=NC(=NC(N)=C1C)C(CC(N)=O)NCC(N)C(N)=O)C(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,0,1,Yes,1
45,N[C@H](CN1N=NC=C1SCC(=O)NC1=CC=CC=C1F)C(O)=O,1,0,No,0
46,CC[C@]1(CC[C@@H](O1)[C@@]1(C)CC[C@]2(C[C@H](O)[C@@H](C)[C@H](O2)[C@H](C)[C@H](OC)[C@@H](C)C([O-])=O)O1)[C@H]1O[C@@H](C[C@H]1C)[C@H]1O[C@@](O)(CO)[C@H](C)C[C@@H]1C,1,0,No,0
47,CCN(CC)CCSCC(=O)O[C@@H]1C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]23CCC(=O)[C@H]2[C@@]1(C)[C@H](C)CC3,0,1,Yes,1
48,CCC(C)C(N)C1=NC(CS1)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC1CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C(CC2C=NC=N2)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(NC(=O)C(CCCN)NC1=O)C(C)CC,0,1,Yes,1
49,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O)C(C)C)C(C)C.CC(C)C[C@@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNc2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNc2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNc2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNc2ccccc12)C(=O)NCCO,1,0,No,0
50,Cc1cc(O)c2C(=O)c3c(O)c(I)c(O)c(I)c3C(=O)c2c1,0,1,Yes,1
51,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,0,1,Yes,1
52,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,0,1,Yes,1
53,CC(C)[C@@H](N)C(=O)NCC(C)(C)SCC(=O)O[C@@H]1C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]23CCC(=O)[C@H]2[C@@]1(C)[C@H](C)CC3,0,1,Yes,1
54,CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,1,0,No,0
55,CC(C)C\C=C\C(=O)N[C@H]1O[C@@H](O[C@@H]2O[C@H](CC(O)[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=CC(=O)NC3=O)[C@H](O)[C@H](O)[C@H]2C)[C@H](O)[C@@H](C)[C@@H]1O,1,0,No,0
56,COC(=O)C1NC(=O)[C@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@H](NC(=O)[C@@H](N)c5ccc(O)c(Oc6cc4cc(O)c6C)c5)[C@H](O)c4ccc(Oc5cc3cc(Oc3ccc(cc3Cl)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)c5O)c(Cl)c4)c2ccc(O)c(c2)-c2c(O)cc(O)cc12,0,1,Yes,1
57,CC1(C)S[C@@H]2[C@H](NC(=O)C(C3=CC=CC=C3)S(O)(=O)=O)C(=O)N2[C@H]1C(O)=O,0,1,Yes,1
58,CC[C@H]1CC[C@H]2O[C@@]3(CC[C@@H](C)[C@@H](C[C@H](C)O)O3)C[C@@H](OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C,1,0,No,0
